sample_id,dataset,label,func_name,strategy,total_lines,suspicious_lines,task1_score,task2_score,task3_score,task4_score,V_score,mtd_verdict,T_score,alc_decision,trust_level,diagnosis_run,error_source,outlier_task,dominant_cwe,conflict_pattern,repair_run,patch_generated,repair_cwe,repair_error_source
10,bigvul,0,unknown_10,heuristic,5,0,0.0,0.0,0.0,0.075,0.0048,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
11,bigvul,1,CloudPrintInfoCallback,ground_truth,5,3,0.7,0.9997,0.0,0.475,1.0,VULNERABLE,0.6898,untrustworthy,LOW,YES,AMBIGUOUS,task3,,SPLIT_DISAGREEMENT,YES,True,unknown,AMBIGUOUS
12,bigvul,0,unknown_12,heuristic,28,5,0.615,0.9942,0.0,0.2893,0.0162,NON_VULNERABLE,0.7224,trustworthy,MODERATE,NO,,,,,NO,,,
13,bigvul,0,qeth_configure_blkt_default,heuristic,15,2,0.615,0.9983,0.0,0.55,0.018,NON_VULNERABLE,0.7339,trustworthy,MODERATE,NO,,,,,NO,,,
14,bigvul,0,if,heuristic,8,0,0.0,0.9502,0.0,0.375,0.02,NON_VULNERABLE,0.7077,trustworthy,MODERATE,NO,,,,,NO,,,
15,bigvul,0,keyboardTypeAttribute,heuristic,19,0,0.0,0.9656,0.0,0.4145,0.0217,NON_VULNERABLE,0.7014,trustworthy,MODERATE,NO,,,,,NO,,,
16,bigvul,0,kvm_arch_vcpu_ioctl_set_sregs,heuristic,80,0,0.0,0.8647,0.0,0.24,0.0265,NON_VULNERABLE,0.7359,trustworthy,MODERATE,NO,,,,,NO,,,
17,bigvul,0,unknown_17,heuristic,3,0,0.0,0.9305,0.0,0.075,0.0056,NON_VULNERABLE,0.7039,trustworthy,MODERATE,NO,,,,,NO,,,
18,bigvul,0,unknown_18,heuristic,6,0,0.0,0.9305,0.0,0.075,0.0123,NON_VULNERABLE,0.7039,trustworthy,MODERATE,NO,,,,,NO,,,
19,bigvul,0,alterCurrentValue,heuristic,21,0,0.0,0.5332,0.0,0.3036,0.0146,NON_VULNERABLE,0.9269,trustworthy,HIGH,NO,,,,,NO,,,
20,bigvul,0,unknown_20,heuristic,3,0,0.0,0.9305,0.0,0.075,0.0081,NON_VULNERABLE,0.7039,trustworthy,MODERATE,NO,,,,,NO,,,
21,bigvul,0,switch,heuristic,127,0,0.0,0.7163,0.0,0.3844,0.0485,NON_VULNERABLE,0.823,trustworthy,HIGH,NO,,,,,NO,,,
22,bigvul,0,unknown_22,heuristic,6,0,0.0,0.0,0.0,0.075,0.0048,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
23,bigvul,0,unknown_23,heuristic,10,0,0.0,0.9592,0.0,0.075,0.0123,NON_VULNERABLE,0.6936,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
24,bigvul,0,unknown_24,heuristic,11,0,0.0,0.9737,0.0,0.075,0.0124,NON_VULNERABLE,0.6883,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
25,bigvul,0,unknown_25,heuristic,22,0,0.0,0.9911,0.0,0.225,0.0168,NON_VULNERABLE,0.6924,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
26,bigvul,0,unknown_26,heuristic,23,0,0.0,0.8243,0.0,0.15,0.0138,NON_VULNERABLE,0.7459,trustworthy,MODERATE,NO,,,,,NO,,,
27,bigvul,0,unknown_27,heuristic,4,0,0.0,0.8647,0.0,0.075,0.006,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
28,bigvul,0,unknown_28,heuristic,8,0,0.0,0.9502,0.0,0.075,0.012,NON_VULNERABLE,0.6969,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
29,bigvul,0,unknown_29,heuristic,4,0,0.0,0.8647,0.0,0.075,0.006,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
30,bigvul,0,unknown_30,heuristic,8,0,0.0,0.8647,0.0,0.075,0.0162,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
31,bigvul,0,nested_vmx_get_vmptr,heuristic,17,0,0.0,0.9049,0.0,0.4324,0.0198,NON_VULNERABLE,0.7675,trustworthy,MODERATE,NO,,,,,NO,,,
32,bigvul,0,unknown_32,heuristic,9,0,0.0,0.9714,0.0,0.15,0.0152,NON_VULNERABLE,0.6953,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
33,bigvul,0,unknown_33,heuristic,6,0,0.0,0.7364,0.0,0.075,0.0065,NON_VULNERABLE,0.7694,trustworthy,MODERATE,NO,,,,,NO,,,
34,bigvul,0,if,heuristic,9,0,0.0,0.9883,0.0,0.475,0.0182,NON_VULNERABLE,0.6914,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
35,bigvul,0,unknown_35,heuristic,10,0,0.0,0.5507,0.0,0.075,0.007,NON_VULNERABLE,0.9238,trustworthy,HIGH,NO,,,,,NO,,,
36,bigvul,0,Block,heuristic,4,0,0.0,0.0,0.0,0.375,0.0053,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
37,bigvul,0,wc_ecc_alloc_async,heuristic,7,0,0.0,0.9897,0.0,0.4178,0.0152,NON_VULNERABLE,0.6935,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
38,bigvul,0,id_lookup_value,heuristic,4,0,0.0,0.8647,0.0,0.475,0.008,NON_VULNERABLE,0.7768,trustworthy,MODERATE,NO,,,,,NO,,,
39,bigvul,0,unknown_39,heuristic,21,0,0.0,0.8983,0.0,0.15,0.0178,NON_VULNERABLE,0.721,trustworthy,MODERATE,NO,,,,,NO,,,
40,bigvul,0,nft_deltable,heuristic,11,0,0.0,0.9455,0.0,0.4023,0.0154,NON_VULNERABLE,0.7084,trustworthy,MODERATE,NO,,,,,NO,,,
41,bigvul,0,ctrl_fill_mcgrp_info,heuristic,40,3,0.28,0.9817,0.0,0.255,0.0201,NON_VULNERABLE,0.7271,trustworthy,MODERATE,NO,,,,,NO,,,
42,bigvul,0,skcipher_walk_aead_decrypt,heuristic,9,0,0.0,0.831,0.0,0.475,0.0141,NON_VULNERABLE,0.7865,trustworthy,MODERATE,NO,,,,,NO,,,
43,bigvul,0,tls1_check_cert_param,heuristic,55,7,0.615,0.9455,0.0,0.5086,0.0401,NON_VULNERABLE,0.747,trustworthy,MODERATE,NO,,,,,NO,,,
44,bigvul,0,RemoveMockTransaction,heuristic,3,0,0.0,0.9305,0.0,0.475,0.0079,NON_VULNERABLE,0.7571,trustworthy,MODERATE,NO,,,,,NO,,,
45,bigvul,0,if,heuristic,9,0,0.0,0.9952,0.0,0.2083,0.0179,NON_VULNERABLE,0.6901,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
46,bigvul,0,spice_server_set_listen_socket_fd,heuristic,6,0,0.0,0.7364,0.0,0.475,0.0088,NON_VULNERABLE,0.8119,trustworthy,HIGH,NO,,,,,NO,,,
47,bigvul,0,unknown_47,heuristic,4,0,0.0,0.8647,0.0,0.075,0.0085,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
48,bigvul,0,unknown_48,heuristic,4,0,0.0,0.8647,0.0,0.075,0.006,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
49,bigvul,0,unknown_49,heuristic,12,0,0.0,0.9817,0.0,0.075,0.0154,NON_VULNERABLE,0.6854,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
50,bigvul,0,ActivityLoggingGetterPerWorldBindingsLongAttributeAttributeGetterForMainWorld,heuristic,7,0,0.0,0.6811,0.0,0.4178,0.009,NON_VULNERABLE,0.8847,trustworthy,HIGH,NO,,,,,NO,,,
51,bigvul,0,blk_mq_freeze_queue_wait,heuristic,4,0,0.0,0.8647,0.0,0.475,0.0082,NON_VULNERABLE,0.7768,trustworthy,MODERATE,NO,,,,,NO,,,
52,bigvul,0,filp_close,heuristic,19,0,0.0,0.92,0.0,0.4026,0.0208,NON_VULNERABLE,0.7165,trustworthy,MODERATE,NO,,,,,NO,,,
53,bigvul,0,ping_clear_saddr,heuristic,14,0,0.0,0.9817,0.0,0.55,0.0213,NON_VULNERABLE,0.6404,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,NOISY_STRATEGY
54,bigvul,0,f2fs_submit_merged_bio,heuristic,5,0,0.0,0.0,0.0,0.475,0.0059,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
55,bigvul,0,if,heuristic,8,0,0.0,0.9714,0.0,0.2083,0.0149,NON_VULNERABLE,0.6986,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
56,bigvul,0,stb_vorbis_seek_frame,heuristic,32,0,0.0,0.9857,0.0,0.375,0.021,NON_VULNERABLE,0.6959,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
57,bigvul,0,regulator_dev_release,heuristic,5,0,0.0,0.0,0.0,0.475,0.0053,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
58,bigvul,0,Layout,heuristic,7,0,0.0,0.9676,0.0,0.15,0.0119,NON_VULNERABLE,0.6966,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
59,bigvul,0,tcp_alloc_md5sig_pool,heuristic,12,0,0.0,0.8647,0.0,0.15,0.0122,NON_VULNERABLE,0.7324,trustworthy,MODERATE,NO,,,,,NO,,,
60,bigvul,0,do_become_nonbusy,heuristic,15,0,0.0,0.9305,0.0,0.55,0.0163,NON_VULNERABLE,0.6557,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,NOISY_STRATEGY
61,bigvul,0,qemu_put_virtqueue_element,heuristic,30,4,0.615,0.9937,0.0,0.55,0.0133,NON_VULNERABLE,0.7351,trustworthy,MODERATE,NO,,,,,NO,,,
62,bigvul,0,unknown_62,heuristic,40,6,0.6792,0.9817,0.0,0.525,0.031,NON_VULNERABLE,0.7343,trustworthy,MODERATE,NO,,,,,NO,,,
63,bigvul,0,unknown_63,heuristic,4,0,0.0,0.8647,0.0,0.075,0.0085,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
64,bigvul,0,show_rate_histogram,heuristic,15,2,0.615,0.9952,0.04,0.55,0.0275,NON_VULNERABLE,0.7465,trustworthy,MODERATE,NO,,,,,NO,,,
65,bigvul,0,unknown_65,heuristic,17,1,0.615,0.991,0.0,0.1456,0.0131,NON_VULNERABLE,0.705,trustworthy,MODERATE,NO,,,,,NO,,,
66,bigvul,1,if,ground_truth,7,0,0.0,0.8647,0.0,0.375,0.9999,VULNERABLE,0.799,trustworthy,MODERATE,NO,,,,,NO,,,
67,bigvul,0,jsTestSerializedScriptValueInterfacePrototypeFunctionMultiTransferList,heuristic,45,0,0.0,0.9714,0.0,0.2033,0.0234,NON_VULNERABLE,0.6984,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
68,bigvul,0,git_delta_index_free,heuristic,4,0,0.0,0.0,0.0,0.375,0.0053,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
69,bigvul,0,unknown_69,heuristic,3,0,0.0,0.0,0.0,0.075,0.0047,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
70,bigvul,0,php_mysqlnd_rset_header_free_mem,heuristic,13,0,0.0,0.9539,0.0,0.4269,0.0194,NON_VULNERABLE,0.7047,trustworthy,MODERATE,NO,,,,,NO,,,
71,bigvul,0,mca_ccb_ll_open,heuristic,7,0,0.0,0.9676,0.0,0.2464,0.0159,NON_VULNERABLE,0.7013,trustworthy,MODERATE,NO,,,,,NO,,,
72,bigvul,0,unknown_72,heuristic,4,0,0.0,0.8647,0.0,0.075,0.006,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
73,bigvul,0,i2d_X509_bio,heuristic,4,0,0.0,0.8647,0.0,0.475,0.0082,NON_VULNERABLE,0.7768,trustworthy,MODERATE,NO,,,,,NO,,,
74,bigvul,0,unknown_74,heuristic,13,0,0.0,0.9751,0.0,0.075,0.0127,NON_VULNERABLE,0.6878,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
75,bigvul,0,ColorTwistMultiply,heuristic,47,0,0.0,0.9343,0.0,0.1005,0.0223,NON_VULNERABLE,0.7048,trustworthy,MODERATE,NO,,,,,NO,,,
76,bigvul,0,SetTopSites,heuristic,4,0,0.0,0.8647,0.0,0.475,0.0082,NON_VULNERABLE,0.7768,trustworthy,MODERATE,NO,,,,,NO,,,
77,bigvul,0,unknown_77,heuristic,13,0,0.0,0.9751,0.0,0.075,0.0157,NON_VULNERABLE,0.6878,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
78,bigvul,0,unknown_78,heuristic,3,0,0.0,0.9305,0.0,0.075,0.0081,NON_VULNERABLE,0.7039,trustworthy,MODERATE,NO,,,,,NO,,,
79,bigvul,0,dtls1_dispatch_alert,heuristic,63,7,0.625,0.9211,0.0095,0.625,0.0085,NON_VULNERABLE,0.7526,trustworthy,MODERATE,NO,,,,,NO,,,
80,bigvul,0,ssl3_output_cert_chain,heuristic,70,2,0.615,0.8983,0.0,0.5464,0.0351,NON_VULNERABLE,0.7578,trustworthy,MODERATE,NO,,,,,NO,,,
81,bigvul,0,unknown_81,heuristic,103,0,0.0,0.7885,0.0,0.15,0.0325,NON_VULNERABLE,0.7575,trustworthy,MODERATE,NO,,,,,NO,,,
82,bigvul,0,unknown_82,heuristic,4,0,0.0,0.8647,0.0,0.075,0.0085,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
83,bigvul,0,unknown_83,heuristic,8,1,0.615,0.9975,0.0,0.225,0.0126,NON_VULNERABLE,0.7142,trustworthy,MODERATE,NO,,,,,NO,,,
84,bigvul,0,unknown_84,heuristic,5,0,0.0,0.9592,0.0,0.075,0.0119,NON_VULNERABLE,0.6936,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
85,bigvul,0,ssl3_clear,heuristic,83,0,0.0,0.8545,0.0,0.1934,0.0309,NON_VULNERABLE,0.7379,trustworthy,MODERATE,NO,,,,,NO,,,
86,bigvul,0,iucv_below_msglim,heuristic,12,0,0.0,0.9906,0.0,0.475,0.021,NON_VULNERABLE,0.6906,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
87,bigvul,0,irda_open_tsap,heuristic,32,1,0.28,0.9502,0.0,0.3,0.041,NON_VULNERABLE,0.7399,trustworthy,MODERATE,NO,,,,,NO,,,
88,bigvul,0,SplitStringAlongWhitespace,heuristic,4,0,0.0,0.0,0.0,0.475,0.0055,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
89,bigvul,0,sig_server_setup_fill_reconn,heuristic,14,0,0.0,0.9897,0.0,0.2464,0.0208,NON_VULNERABLE,0.6936,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
90,bigvul,0,unknown_90,heuristic,15,0,0.0,0.9592,0.0,0.075,0.0156,NON_VULNERABLE,0.6936,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
91,bigvul,0,vfs_unlink,heuristic,38,0,0.0,0.9656,0.0,0.4263,0.0241,NON_VULNERABLE,0.701,trustworthy,MODERATE,NO,,,,,NO,,,
92,bigvul,0,testInterfacePythonAttributeAttributeSetterCallback,heuristic,6,0,0.0,0.0,0.0,0.475,0.006,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
93,bigvul,0,unknown_93,heuristic,9,0,0.0,0.831,0.0,0.15,0.0119,NON_VULNERABLE,0.7437,trustworthy,MODERATE,NO,,,,,NO,,,
94,bigvul,0,unknown_94,heuristic,21,1,0.615,0.9778,0.0,0.2072,0.0148,NON_VULNERABLE,0.7175,trustworthy,MODERATE,NO,,,,,NO,,,
95,bigvul,0,unknown_95,heuristic,5,0,0.0,0.0,0.0,0.075,0.0048,NON_VULNERABLE,0.9835,trustworthy,HIGH,NO,,,,,NO,,,
96,bigvul,0,ActivityLoggingAccessForAllWorldsMethodMethod,heuristic,5,0,0.0,0.7981,0.0,0.475,0.0085,NON_VULNERABLE,0.7956,trustworthy,MODERATE,NO,,,,,NO,,,
97,bigvul,0,LocalToAbsolute,heuristic,5,0,0.0,0.7981,0.0,0.475,0.0085,NON_VULNERABLE,0.7956,trustworthy,MODERATE,NO,,,,,NO,,,
98,bigvul,0,if,heuristic,5,0,0.0,0.9918,0.0,0.475,0.0185,NON_VULNERABLE,0.6902,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
99,bigvul,1,while,ground_truth,12,3,0.7,0.9993,0.0,0.175,1.0,VULNERABLE,0.6133,untrustworthy,LOW,YES,FALSE_PATTERN,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,FALSE_PATTERN
100,bigvul,0,vnc_update_stats,heuristic,54,0,0.0,0.9483,0.0,0.4111,0.0242,NON_VULNERABLE,0.7072,trustworthy,MODERATE,NO,,,,,NO,,,
101,bigvul,0,unknown_101,heuristic,14,0,0.0,0.8199,0.0,0.15,0.0126,NON_VULNERABLE,0.7473,trustworthy,MODERATE,NO,,,,,NO,,,
102,bigvul,0,WritePSDChannel,heuristic,128,4,0.5887,0.7135,0.0,0.3656,0.0846,NON_VULNERABLE,0.8336,trustworthy,HIGH,NO,,,,,NO,,,
103,bigvul,1,for,ground_truth,24,0,0.3,0.9305,0.0,0.6,1.0,VULNERABLE,0.7586,trustworthy,MODERATE,NO,,,,,NO,,,
104,bigvul,0,if,heuristic,7,0,0.0,0.9502,0.0,0.375,0.0162,NON_VULNERABLE,0.7077,trustworthy,MODERATE,NO,,,,,NO,,,
105,bigvul,0,frameCount,heuristic,1,0,0.0,0.9997,0.0,0.0,0.0041,NON_VULNERABLE,0.6706,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
106,bigvul,0,netlink_broadcast_deliver,heuristic,12,0,0.0,0.9305,0.0,0.55,0.0219,NON_VULNERABLE,0.6557,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,NOISY_STRATEGY
107,bigvul,0,unsignedShortAttributeAttributeGetter,heuristic,5,0,0.0,0.7981,0.0,0.475,0.0085,NON_VULNERABLE,0.7956,trustworthy,MODERATE,NO,,,,,NO,,,
108,bigvul,1,unknown_108,ground_truth,19,16,0.7,0.9995,0.0,0.15,0.9999,VULNERABLE,0.6093,untrustworthy,LOW,YES,FALSE_PATTERN,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,FALSE_PATTERN
109,bigvul,0,Field_CompletePlayerName,heuristic,51,6,0.615,0.9566,0.0,0.728,0.0211,NON_VULNERABLE,0.682,untrustworthy,LOW,YES,MISSED_VULN,task3,struct-array,SINGLE_LOW_OUTLIER,YES,True,struct-array,MISSED_VULN
110,bigvul,0,mark_tree_contents_uninteresting,heuristic,32,0,0.0,0.9612,0.0,0.4125,0.021,NON_VULNERABLE,0.7029,trustworthy,MODERATE,NO,,,,,NO,,,
111,bigvul,0,gf_rand,heuristic,4,1,0.79,0.9997,0.15,0.075,0.0044,NON_VULNERABLE,0.5978,untrustworthy,LOW,YES,AMBIGUOUS,task2,CWE-330,SPLIT_DISAGREEMENT,YES,True,CWE-330,AMBIGUOUS
112,bigvul,0,unknown_112,heuristic,28,0,0.0,0.9817,0.0,0.075,0.0179,NON_VULNERABLE,0.6854,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
113,bigvul,0,unknown_113,heuristic,8,0,0.0,0.8647,0.0,0.15,0.0125,NON_VULNERABLE,0.7324,trustworthy,MODERATE,NO,,,,,NO,,,
114,bigvul,0,unknown_114,heuristic,10,2,0.685,0.9963,0.12,0.075,0.0071,NON_VULNERABLE,0.6607,untrustworthy,LOW,YES,MISSED_VULN,task2,CWE-190,SPLIT_DISAGREEMENT,YES,True,CWE-190,MISSED_VULN
115,bigvul,0,unknown_115,heuristic,6,0,0.0,0.9305,0.0,0.075,0.012,NON_VULNERABLE,0.7039,trustworthy,MODERATE,NO,,,,,NO,,,
116,bigvul,0,ExecuteMakeTextWritingDirectionLeftToRight,heuristic,12,0,0.0,0.8647,0.0,0.275,0.0151,NON_VULNERABLE,0.7363,trustworthy,MODERATE,NO,,,,,NO,,,
117,bigvul,0,ipgre_close,heuristic,14,0,0.0,0.9426,0.0,0.625,0.0229,NON_VULNERABLE,0.6442,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,NOISY_STRATEGY
118,bigvul,0,unknown_118,heuristic,6,0,0.0,0.9305,0.0,0.075,0.012,NON_VULNERABLE,0.7039,trustworthy,MODERATE,NO,,,,,NO,,,
119,bigvul,0,unknown_119,heuristic,11,0,0.0,0.9938,0.0,0.075,0.0118,NON_VULNERABLE,0.6811,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
120,bigvul,1,unknown_120,ground_truth,31,2,0.7,0.9926,0.0,0.15,1.0,VULNERABLE,0.6112,untrustworthy,LOW,YES,FALSE_PATTERN,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,FALSE_PATTERN
121,bigvul,0,unknown_121,heuristic,1,0,0.0,0.9997,0.0,0.0,0.0041,NON_VULNERABLE,0.6706,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
122,bigvul,0,SelectRightNameType,heuristic,28,0,0.0,0.9897,0.0,0.3964,0.0172,NON_VULNERABLE,0.6941,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
123,bigvul,0,unknown_123,heuristic,14,0,0.0,0.6811,0.0,0.075,0.0141,NON_VULNERABLE,0.84,trustworthy,HIGH,NO,,,,,NO,,,
124,bigvul,0,lh_table_lookup_entry,heuristic,16,3,0.615,0.9975,0.0,0.55,0.0155,NON_VULNERABLE,0.7341,trustworthy,MODERATE,NO,,,,,NO,,,
125,bigvul,0,cirrus_write_bitblt,heuristic,15,2,0.615,0.9918,0.0,0.55,0.0237,NON_VULNERABLE,0.7355,trustworthy,MODERATE,NO,,,,,NO,,,
126,bigvul,0,unknown_126,heuristic,30,0,0.0,0.9688,0.0,0.15,0.0176,NON_VULNERABLE,0.6962,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
127,bigvul,0,unknown_127,heuristic,10,0,0.0,0.9963,0.0,0.075,0.0141,NON_VULNERABLE,0.6801,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
128,bigvul,0,dm_request_for_irq_injection,heuristic,6,0,0.0,0.9305,0.0,0.475,0.02,NON_VULNERABLE,0.7571,trustworthy,MODERATE,NO,,,,,NO,,,
129,bigvul,1,unknown_129,ground_truth,12,1,0.7,0.9952,0.0,0.075,1.0,VULNERABLE,0.5975,untrustworthy,LOW,YES,FALSE_PATTERN,task2,,SPLIT_DISAGREEMENT,YES,True,unknown,FALSE_PATTERN
130,bigvul,1,for,ground_truth,37,1,0.7,0.9868,0.0973,0.3649,1.0,VULNERABLE,0.7124,trustworthy,MODERATE,NO,,,,,NO,,,
131,bigvul,0,unknown_131,heuristic,37,2,0.615,0.9868,0.0162,0.2899,0.0166,NON_VULNERABLE,0.7287,trustworthy,MODERATE,NO,,,,,NO,,,
132,bigvul,0,unknown_132,heuristic,18,0,0.0,0.9925,0.0,0.075,0.0176,NON_VULNERABLE,0.6816,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,,SINGLE_HIGH_OUTLIER,YES,True,unknown,NOISY_STRATEGY
